[2025-03-28 14:39:33,136] [INFO] [database] Found 2 missing data ranges for sh.600622
[2025-03-28 14:39:33,149] [INFO] [database] Fetching missing data ranges for sh.600622
[2025-03-28 14:39:33,156] [INFO] [database] Fetching data from 2025-03-12 to 2025-03-14
[2025-03-28 14:39:36,571] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:39:36,649] [INFO] [database] 成功保存sh.600622的5频率数据，共144条记录
[2025-03-28 14:39:36,650] [ERROR] [database] Failed to load stock data: cannot access local variable 'data' where it is not associated with a value
[2025-03-28 14:41:06,304] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:41:08,698] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:41:08,796] [INFO] [database] Loading stock data for sh.600622 from 2025-03-12 to 2025-03-19
[2025-03-28 14:41:09,336] [INFO] [database] Checking data completeness for sh.600622 from 2025-03-12 to 2025-03-19
[2025-03-28 14:41:09,358] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:41:09,398] [INFO] [database] Found 1 missing data ranges for sh.600622
[2025-03-28 14:41:09,409] [INFO] [database] Fetching missing data ranges for sh.600622
[2025-03-28 14:41:09,416] [INFO] [database] Fetching data from 2025-03-17 to 2025-03-19
[2025-03-28 14:41:09,750] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:41:09,817] [INFO] [database] 成功保存sh.600622的5频率数据，共144条记录
[2025-03-28 14:41:09,819] [ERROR] [database] Failed to load stock data: 'coroutine' object has no attribute 'cursor'
[2025-03-28 14:41:53,900] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:41:56,279] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:41:56,376] [INFO] [database] Loading stock data for sh.600622 from 2025-03-12 to 2025-03-19
[2025-03-28 14:41:56,798] [INFO] [database] Checking data completeness for sh.600622 from 2025-03-12 to 2025-03-19
[2025-03-28 14:41:56,824] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:41:56,870] [INFO] [database] Found 0 missing data ranges for sh.600622
[2025-03-28 14:41:56,902] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:41:56,943] [ERROR] [database] Failed to load stock data: DataFrame constructor not properly called!
[2025-03-28 14:44:47,874] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:44:56,059] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:44:56,171] [INFO] [database] Loading stock data for sh.600622 from 2025-03-12 to 2025-03-19
[2025-03-28 14:44:57,094] [INFO] [database] Checking data completeness for sh.600622 from 2025-03-12 to 2025-03-19
[2025-03-28 14:44:57,113] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:44:57,165] [INFO] [database] Found 0 missing data ranges for sh.600622
[2025-03-28 14:44:57,196] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:44:57,247] [ERROR] [database] Failed to load stock data: syntax error at or near "%"
[2025-03-28 14:45:19,389] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:45:22,982] [INFO] [database] 数据库表结构初始化完成
[2025-03-28 14:45:23,077] [INFO] [database] Loading stock data for sh.600622 from 2025-03-12 to 2025-03-19
