,Class,SubClass,Name,Type,Item,Content,Rank,Average,123123
25,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(吉利蜜1，森永牌),矿物质,铜(Cu),0.31mg,33,0.38mg,
26,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(吉利蜜1，森永牌),矿物质,锰(Mn),0.02mg,38,0.16mg,
27,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(吉利蜜1，森永牌),矿物质,碘(I),90.0μg,5,72.6μg,
28,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(吉利蜜1，森永牌),脂肪酸,饱和脂肪酸(SFA),—,,,
29,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(吉利蜜1，森永牌),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(吉利蜜1，森永牌),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(吉利蜜1，森永牌),脂肪酸,合计(Total),—,,,
0,畜肉类及制品,猪,猪肉(里脊),类型,项目,含量,同类排名,同类均值,含量水平
1,畜肉类及制品,猪,猪肉(里脊),能量与相关成分,食部(Edible),100%,1,93%,
2,畜肉类及制品,猪,猪肉(里脊),能量与相关成分,水分(Water),70.3g,11,55.1g,
3,畜肉类及制品,猪,猪肉(里脊),能量与相关成分,能量(Energy),648kJ,36,1164kJ,
4,畜肉类及制品,猪,猪肉(里脊),能量与相关成分,蛋白质(Protein),20.2g,11,15.7g,
5,畜肉类及制品,猪,猪肉(里脊),能量与相关成分,脂肪(Fat),7.9g,36,21.8g,
6,畜肉类及制品,猪,猪肉(里脊),能量与相关成分,胆固醇(Cholesterol),55mg,39,172mg,
7,畜肉类及制品,猪,猪肉(里脊),能量与相关成分,灰分(Ash),0.9g,26,2.2g,
8,畜肉类及制品,猪,猪肉(里脊),能量与相关成分,碳水化合物(CHO),0.7g,31,5.2g,
9,畜肉类及制品,猪,猪肉(里脊),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,畜肉类及制品,猪,猪肉(里脊),维生素,胡萝卜素(Carotene),,,,
11,畜肉类及制品,猪,猪肉(里脊),维生素,维生素A(Vitamin),5.0μg,27,218.5μg,
12,畜肉类及制品,猪,猪肉(里脊),维生素,α-TE,—,,,
13,畜肉类及制品,猪,猪肉(里脊),维生素,硫胺素(Thiamin),0.47mg,10,0.27mg,
14,畜肉类及制品,猪,猪肉(里脊),维生素,核黄素(Riboflavin),0.12mg,23,0.21mg,
15,畜肉类及制品,猪,猪肉(里脊),维生素,烟酸(Niacin),5.20mg,13,4.47mg,
16,畜肉类及制品,猪,猪肉(里脊),维生素,维生素C(Vitamin C),,,,
17,畜肉类及制品,猪,猪肉(里脊),矿物质,钙(Ca),6mg,28,15mg,
18,畜肉类及制品,猪,猪肉(里脊),矿物质,磷(P),184mg,12,135mg,
19,畜肉类及制品,猪,猪肉(里脊),矿物质,钾(K),317mg,7,206mg,
20,畜肉类及制品,猪,猪肉(里脊),矿物质,钠(Na),43.2mg,43,392.7mg,
21,畜肉类及制品,猪,猪肉(里脊),矿物质,镁(Mg),28mg,5,17mg,
22,畜肉类及制品,猪,猪肉(里脊),矿物质,铁(Fe),1.5mg,31,3.1mg,
23,畜肉类及制品,猪,猪肉(里脊),矿物质,锌(Zn),2.30mg,15,2.12mg,
24,畜肉类及制品,猪,猪肉(里脊),矿物质,硒(Se),5.20μg,35,11.94μg,
25,畜肉类及制品,猪,猪肉(里脊),矿物质,铜(Cu),0.16mg,13,0.16mg,
26,畜肉类及制品,猪,猪肉(里脊),矿物质,锰(Mn),0.03mg,27,0.08mg,
27,畜肉类及制品,猪,猪肉(里脊),矿物质,碘(I),,,,
28,畜肉类及制品,猪,猪肉(里脊),脂肪酸,饱和脂肪酸(SFA),36.8%,22,31.9%,
29,畜肉类及制品,猪,猪肉(里脊),脂肪酸,单不饱和脂肪酸(MUFA),45.6%,21,39.6%,
30,畜肉类及制品,猪,猪肉(里脊),脂肪酸,多不饱和脂肪酸(PUFA),11.6%,13,11.3%,
31,畜肉类及制品,猪,猪肉(里脊),脂肪酸,合计(Total),94.4%,38,83.0%,
0,乳类及制品,液态乳,牛乳(蒙牛牌),类型,项目,含量,同类排名,同类均值,含量水平
1,乳类及制品,液态乳,牛乳(蒙牛牌),能量与相关成分,食部(Edible),100%,1,100%,
2,乳类及制品,液态乳,牛乳(蒙牛牌),能量与相关成分,水分(Water),87.2g,13,87.4g,
3,乳类及制品,液态乳,牛乳(蒙牛牌),能量与相关成分,能量(Energy),280kJ,6,263kJ,
4,乳类及制品,液态乳,牛乳(蒙牛牌),能量与相关成分,蛋白质(Protein),3.1g,4,2.9g,
5,乳类及制品,液态乳,牛乳(蒙牛牌),能量与相关成分,脂肪(Fat),3.7g,5,3.1g,
6,乳类及制品,液态乳,牛乳(蒙牛牌),能量与相关成分,胆固醇(Cholesterol),1mg,15,5mg,
7,乳类及制品,液态乳,牛乳(蒙牛牌),能量与相关成分,灰分(Ash),0.7g,2,0.7g,
8,乳类及制品,液态乳,牛乳(蒙牛牌),能量与相关成分,碳水化合物(CHO),5.3g,7,5.9g,
9,乳类及制品,液态乳,牛乳(蒙牛牌),能量与相关成分,总膳食纤维(Dietary fiber),0.00g,1,0.0g,
10,乳类及制品,液态乳,牛乳(蒙牛牌),维生素,胡萝卜素(Carotene),—,,,
11,乳类及制品,液态乳,牛乳(蒙牛牌),维生素,维生素A(Vitamin),14.0μg,14,20.3μg,
12,乳类及制品,液态乳,牛乳(蒙牛牌),维生素,α-TE,0.10mg,5,0.07mg,
13,乳类及制品,液态乳,牛乳(蒙牛牌),维生素,硫胺素(Thiamin),0.02mg,6,0.02mg,
14,乳类及制品,液态乳,牛乳(蒙牛牌),维生素,核黄素(Riboflavin),0.11mg,6,0.11mg,
15,乳类及制品,液态乳,牛乳(蒙牛牌),维生素,烟酸(Niacin),0.11mg,6,0.20mg,
16,乳类及制品,液态乳,牛乳(蒙牛牌),维生素,维生素C(Vitamin C),Tr,,,
17,乳类及制品,液态乳,牛乳(蒙牛牌),矿物质,钙(Ca),98mg,6,91mg,
18,乳类及制品,液态乳,牛乳(蒙牛牌),矿物质,磷(P),94mg,8,89mg,
19,乳类及制品,液态乳,牛乳(蒙牛牌),矿物质,钾(K),159mg,11,168mg,
20,乳类及制品,液态乳,牛乳(蒙牛牌),矿物质,钠(Na),48.9mg,8,71.9mg,
21,乳类及制品,液态乳,牛乳(蒙牛牌),矿物质,镁(Mg),11mg,5,10mg,
22,乳类及制品,液态乳,牛乳(蒙牛牌),矿物质,铁(Fe),0.2mg,13,0.3mg,
23,乳类及制品,液态乳,牛乳(蒙牛牌),矿物质,锌(Zn),0.51mg,7,0.53mg,
24,乳类及制品,液态乳,牛乳(蒙牛牌),矿物质,硒(Se),1.10μg,12,1.24μg,
25,乳类及制品,液态乳,牛乳(蒙牛牌),矿物质,铜(Cu),Tr,,,
26,乳类及制品,液态乳,牛乳(蒙牛牌),矿物质,锰(Mn),Tr,,,
27,乳类及制品,液态乳,牛乳(蒙牛牌),矿物质,碘(I),1.4μg,6,1.1μg,
28,乳类及制品,液态乳,牛乳(蒙牛牌),脂肪酸,饱和脂肪酸(SFA),62.8%,16,65.7%,
29,乳类及制品,液态乳,牛乳(蒙牛牌),脂肪酸,单不饱和脂肪酸(MUFA),33.0%,2,28.4%,
30,乳类及制品,液态乳,牛乳(蒙牛牌),脂肪酸,多不饱和脂肪酸(PUFA),2.1%,9,2.3%,
31,乳类及制品,液态乳,牛乳(蒙牛牌),脂肪酸,合计(Total),98.0%,6,96.5%,
0,菌藻类,菌类,黄蘑(干),类型,项目,含量,同类排名,同类均值,含量水平
1,菌藻类,菌类,黄蘑(干),能量与相关成分,食部(Edible),89%,30,97%,
2,菌藻类,菌类,黄蘑(干),能量与相关成分,水分(Water),39.3g,14,43.3g,
3,菌藻类,菌类,黄蘑(干),能量与相关成分,能量(Energy),1016kJ,20,917kJ,
4,菌藻类,菌类,黄蘑(干),能量与相关成分,蛋白质(Protein),16.4g,16,13.9g,
5,菌藻类,菌类,黄蘑(干),能量与相关成分,脂肪(Fat),1.5g,15,3.7g,
6,菌藻类,菌类,黄蘑(干),能量与相关成分,胆固醇(Cholesterol),,,,
7,菌藻类,菌类,黄蘑(干),能量与相关成分,灰分(Ash),2.7g,20,4.7g,
8,菌藻类,菌类,黄蘑(干),能量与相关成分,碳水化合物(CHO),40.1g,18,34.5g,
9,菌藻类,菌类,黄蘑(干),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,菌藻类,菌类,黄蘑(干),维生素,胡萝卜素(Carotene),70.0μg,7,112.3μg,
11,菌藻类,菌类,黄蘑(干),维生素,维生素A(Vitamin),,,,
12,菌藻类,菌类,黄蘑(干),维生素,α-TE,—,,,
13,菌藻类,菌类,黄蘑(干),维生素,硫胺素(Thiamin),0.15mg,10,0.12mg,
14,菌藻类,菌类,黄蘑(干),维生素,核黄素(Riboflavin),1.00mg,16,1.03mg,
15,菌藻类,菌类,黄蘑(干),维生素,烟酸(Niacin),5.80mg,18,14.59mg,
16,菌藻类,菌类,黄蘑(干),维生素,维生素C(Vitamin C),,,,
17,菌藻类,菌类,黄蘑(干),矿物质,钙(Ca),11mg,17,32mg,
18,菌藻类,菌类,黄蘑(干),矿物质,磷(P),194mg,18,338mg,
19,菌藻类,菌类,黄蘑(干),矿物质,钾(K),1953mg,7,1342mg,
20,菌藻类,菌类,黄蘑(干),矿物质,钠(Na),6.1mg,19,56.4mg,
21,菌藻类,菌类,黄蘑(干),矿物质,镁(Mg),91mg,13,60mg,
22,菌藻类,菌类,黄蘑(干),矿物质,铁(Fe),22.5mg,10,28.8mg,
23,菌藻类,菌类,黄蘑(干),矿物质,锌(Zn),5.26mg,12,3.84mg,
24,菌藻类,菌类,黄蘑(干),矿物质,硒(Se),1.10μg,22,37.39μg,
25,菌藻类,菌类,黄蘑(干),矿物质,铜(Cu),0.46mg,18,1.44mg,
26,菌藻类,菌类,黄蘑(干),矿物质,锰(Mn),3.09mg,10,2.15mg,
27,菌藻类,菌类,黄蘑(干),矿物质,碘(I),,,,
28,菌藻类,菌类,黄蘑(干),脂肪酸,饱和脂肪酸(SFA),—,,,
29,菌藻类,菌类,黄蘑(干),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,菌藻类,菌类,黄蘑(干),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,菌藻类,菌类,黄蘑(干),脂肪酸,合计(Total),—,,,
0,菌藻类,菌类,蘑菇(鲜蘑),类型,项目,含量,同类排名,同类均值,含量水平
1,菌藻类,菌类,蘑菇(鲜蘑),能量与相关成分,食部(Edible),99%,22,97%,
2,菌藻类,菌类,蘑菇(鲜蘑),能量与相关成分,水分(Water),92.4g,3,43.3g,
3,菌藻类,菌类,蘑菇(鲜蘑),能量与相关成分,能量(Energy),119kJ,32,917kJ,
4,菌藻类,菌类,蘑菇(鲜蘑),能量与相关成分,蛋白质(Protein),2.7g,26,13.9g,
5,菌藻类,菌类,蘑菇(鲜蘑),能量与相关成分,脂肪(Fat),0.1g,30,3.7g,
6,菌藻类,菌类,蘑菇(鲜蘑),能量与相关成分,胆固醇(Cholesterol),,,,
7,菌藻类,菌类,蘑菇(鲜蘑),能量与相关成分,灰分(Ash),0.7g,27,4.7g,
8,菌藻类,菌类,蘑菇(鲜蘑),能量与相关成分,碳水化合物(CHO),4.1g,32,34.5g,
9,菌藻类,菌类,蘑菇(鲜蘑),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,菌藻类,菌类,蘑菇(鲜蘑),维生素,胡萝卜素(Carotene),10.0μg,15,112.3μg,
11,菌藻类,菌类,蘑菇(鲜蘑),维生素,维生素A(Vitamin),,,,
12,菌藻类,菌类,蘑菇(鲜蘑),维生素,α-TE,—,,,
13,菌藻类,菌类,蘑菇(鲜蘑),维生素,硫胺素(Thiamin),0.08mg,16,0.12mg,
14,菌藻类,菌类,蘑菇(鲜蘑),维生素,核黄素(Riboflavin),0.35mg,21,1.03mg,
15,菌藻类,菌类,蘑菇(鲜蘑),维生素,烟酸(Niacin),4.00mg,21,14.59mg,
16,菌藻类,菌类,蘑菇(鲜蘑),维生素,维生素C(Vitamin C),2.0mg,6,0.9mg,
17,菌藻类,菌类,蘑菇(鲜蘑),矿物质,钙(Ca),6mg,21,32mg,
18,菌藻类,菌类,蘑菇(鲜蘑),矿物质,磷(P),94mg,20,338mg,
19,菌藻类,菌类,蘑菇(鲜蘑),矿物质,钾(K),312mg,19,1342mg,
20,菌藻类,菌类,蘑菇(鲜蘑),矿物质,钠(Na),8.3mg,17,56.4mg,
21,菌藻类,菌类,蘑菇(鲜蘑),矿物质,镁(Mg),11mg,24,60mg,
22,菌藻类,菌类,蘑菇(鲜蘑),矿物质,铁(Fe),1.2mg,30,28.8mg,
23,菌藻类,菌类,蘑菇(鲜蘑),矿物质,锌(Zn),0.92mg,26,3.84mg,
24,菌藻类,菌类,蘑菇(鲜蘑),矿物质,硒(Se),0.60μg,25,37.39μg,
25,菌藻类,菌类,蘑菇(鲜蘑),矿物质,铜(Cu),0.49mg,17,1.44mg,
26,菌藻类,菌类,蘑菇(鲜蘑),矿物质,锰(Mn),0.11mg,28,2.15mg,
27,菌藻类,菌类,蘑菇(鲜蘑),矿物质,碘(I),,,,
28,菌藻类,菌类,蘑菇(鲜蘑),脂肪酸,饱和脂肪酸(SFA),23.5%,4,9.1%,
29,菌藻类,菌类,蘑菇(鲜蘑),脂肪酸,单不饱和脂肪酸(MUFA),3.9%,10,8.1%,
30,菌藻类,菌类,蘑菇(鲜蘑),脂肪酸,多不饱和脂肪酸(PUFA),70.9%,3,15.9%,
31,菌藻类,菌类,蘑菇(鲜蘑),脂肪酸,合计(Total),98.3%,11,33.2%,
0,乳类及制品,液态乳,牛乳(帕玛拉特牌),类型,项目,含量,同类排名,同类均值,含量水平
1,乳类及制品,液态乳,牛乳(帕玛拉特牌),能量与相关成分,食部(Edible),100%,1,100%,
2,乳类及制品,液态乳,牛乳(帕玛拉特牌),能量与相关成分,水分(Water),87.9g,9,87.4g,
3,乳类及制品,液态乳,牛乳(帕玛拉特牌),能量与相关成分,能量(Energy),256kJ,11,263kJ,
4,乳类及制品,液态乳,牛乳(帕玛拉特牌),能量与相关成分,蛋白质(Protein),3.0g,7,2.9g,
5,乳类及制品,液态乳,牛乳(帕玛拉特牌),能量与相关成分,脂肪(Fat),3.1g,13,3.1g,
6,乳类及制品,液态乳,牛乳(帕玛拉特牌),能量与相关成分,胆固醇(Cholesterol),6mg,4,5mg,
7,乳类及制品,液态乳,牛乳(帕玛拉特牌),能量与相关成分,灰分(Ash),0.7g,2,0.7g,
8,乳类及制品,液态乳,牛乳(帕玛拉特牌),能量与相关成分,碳水化合物(CHO),5.3g,7,5.9g,
9,乳类及制品,液态乳,牛乳(帕玛拉特牌),能量与相关成分,总膳食纤维(Dietary fiber),0.00g,1,0.0g,
10,乳类及制品,液态乳,牛乳(帕玛拉特牌),维生素,胡萝卜素(Carotene),—,,,
11,乳类及制品,液态乳,牛乳(帕玛拉特牌),维生素,维生素A(Vitamin),14.0μg,14,20.3μg,
12,乳类及制品,液态乳,牛乳(帕玛拉特牌),维生素,α-TE,0.00mg,13,0.07mg,
13,乳类及制品,液态乳,牛乳(帕玛拉特牌),维生素,硫胺素(Thiamin),0.02mg,6,0.02mg,
14,乳类及制品,液态乳,牛乳(帕玛拉特牌),维生素,核黄素(Riboflavin),0.08mg,17,0.11mg,
15,乳类及制品,液态乳,牛乳(帕玛拉特牌),维生素,烟酸(Niacin),0.10mg,9,0.20mg,
16,乳类及制品,液态乳,牛乳(帕玛拉特牌),维生素,维生素C(Vitamin C),Tr,,,
17,乳类及制品,液态乳,牛乳(帕玛拉特牌),矿物质,钙(Ca),113mg,1,91mg,
18,乳类及制品,液态乳,牛乳(帕玛拉特牌),矿物质,磷(P),99mg,4,89mg,
19,乳类及制品,液态乳,牛乳(帕玛拉特牌),矿物质,钾(K),166mg,7,168mg,
20,乳类及制品,液态乳,牛乳(帕玛拉特牌),矿物质,钠(Na),68.2mg,4,71.9mg,
21,乳类及制品,液态乳,牛乳(帕玛拉特牌),矿物质,镁(Mg),11mg,5,10mg,
22,乳类及制品,液态乳,牛乳(帕玛拉特牌),矿物质,铁(Fe),0.4mg,6,0.3mg,
23,乳类及制品,液态乳,牛乳(帕玛拉特牌),矿物质,锌(Zn),0.67mg,4,0.53mg,
24,乳类及制品,液态乳,牛乳(帕玛拉特牌),矿物质,硒(Se),0.20μg,19,1.24μg,
25,乳类及制品,液态乳,牛乳(帕玛拉特牌),矿物质,铜(Cu),0.01mg,7,0.01mg,
26,乳类及制品,液态乳,牛乳(帕玛拉特牌),矿物质,锰(Mn),0.01mg,5,0.01mg,
27,乳类及制品,液态乳,牛乳(帕玛拉特牌),矿物质,碘(I),0.6μg,11,1.1μg,
28,乳类及制品,液态乳,牛乳(帕玛拉特牌),脂肪酸,饱和脂肪酸(SFA),65.5%,11,65.7%,
29,乳类及制品,液态乳,牛乳(帕玛拉特牌),脂肪酸,单不饱和脂肪酸(MUFA),29.1%,10,28.4%,
30,乳类及制品,液态乳,牛乳(帕玛拉特牌),脂肪酸,多不饱和脂肪酸(PUFA),2.0%,12,2.3%,
31,乳类及制品,液态乳,牛乳(帕玛拉特牌),脂肪酸,合计(Total),96.7%,12,96.5%,
0,含酒精饮料,发酵酒,啤酒(均值),类型,项目,含量,同类排名,同类均值,含量水平
1,含酒精饮料,发酵酒,啤酒(均值),能量与相关成分,食部(Edible),100%,1,100%,
2,含酒精饮料,发酵酒,啤酒(均值),能量与相关成分,水分(Water),95.1g,2,89.2g,
3,含酒精饮料,发酵酒,啤酒(均值),能量与相关成分,能量(Energy),80kJ,19,181kJ,
4,含酒精饮料,发酵酒,啤酒(均值),能量与相关成分,蛋白质(Protein),0.4g,5,0.5g,
5,含酒精饮料,发酵酒,啤酒(均值),能量与相关成分,脂肪(Fat),,,,
6,含酒精饮料,发酵酒,啤酒(均值),能量与相关成分,胆固醇(Cholesterol),,,,
7,含酒精饮料,发酵酒,啤酒(均值),能量与相关成分,灰分(Ash),0.2g,5,0.2g,
8,含酒精饮料,发酵酒,啤酒(均值),能量与相关成分,碳水化合物(CHO),4.3g,19,10.2g,
9,含酒精饮料,发酵酒,啤酒(均值),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,含酒精饮料,发酵酒,啤酒(均值),维生素,胡萝卜素(Carotene),,,,
11,含酒精饮料,发酵酒,啤酒(均值),维生素,维生素A(Vitamin),,,,
12,含酒精饮料,发酵酒,啤酒(均值),维生素,α-TE,—,,,
13,含酒精饮料,发酵酒,啤酒(均值),维生素,硫胺素(Thiamin),0.15mg,1,0.01mg,
14,含酒精饮料,发酵酒,啤酒(均值),维生素,核黄素(Riboflavin),0.04mg,3,0.02mg,
15,含酒精饮料,发酵酒,啤酒(均值),维生素,烟酸(Niacin),1.10mg,1,0.16mg,
16,含酒精饮料,发酵酒,啤酒(均值),维生素,维生素C(Vitamin C),,,,
17,含酒精饮料,发酵酒,啤酒(均值),矿物质,钙(Ca),13mg,8,14mg,
18,含酒精饮料,发酵酒,啤酒(均值),矿物质,磷(P),12mg,10,14mg,
19,含酒精饮料,发酵酒,啤酒(均值),矿物质,钾(K),47mg,9,46mg,
20,含酒精饮料,发酵酒,啤酒(均值),矿物质,钠(Na),11.4mg,3,5.7mg,
21,含酒精饮料,发酵酒,啤酒(均值),矿物质,镁(Mg),6mg,10,8mg,
22,含酒精饮料,发酵酒,啤酒(均值),矿物质,铁(Fe),0.4mg,9,0.5mg,
23,含酒精饮料,发酵酒,啤酒(均值),矿物质,锌(Zn),0.30mg,6,0.19mg,
24,含酒精饮料,发酵酒,啤酒(均值),矿物质,硒(Se),0.60μg,4,0.24μg,
25,含酒精饮料,发酵酒,啤酒(均值),矿物质,铜(Cu),0.03mg,8,0.03mg,
26,含酒精饮料,发酵酒,啤酒(均值),矿物质,锰(Mn),0.01mg,18,0.14mg,
27,含酒精饮料,发酵酒,啤酒(均值),矿物质,碘(I),,,,
28,含酒精饮料,发酵酒,啤酒(均值),脂肪酸,饱和脂肪酸(SFA),—,,,
29,含酒精饮料,发酵酒,啤酒(均值),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,含酒精饮料,发酵酒,啤酒(均值),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,含酒精饮料,发酵酒,啤酒(均值),脂肪酸,合计(Total),—,,,
0,油脂类,植物油,油（胡麻油),类型,项目,含量,同类排名,同类均值,含量水平
1,油脂类,植物油,油（胡麻油),能量与相关成分,食部(Edible),100%,1,100%,
2,油脂类,植物油,油（胡麻油),能量与相关成分,水分(Water),,,,
3,油脂类,植物油,油（胡麻油),能量与相关成分,能量(Energy),3700kJ,1,3694kJ,
4,油脂类,植物油,油（胡麻油),能量与相关成分,蛋白质(Protein),,,,
5,油脂类,植物油,油（胡麻油),能量与相关成分,脂肪(Fat),100.0g,1,99.8g,
6,油脂类,植物油,油（胡麻油),能量与相关成分,胆固醇(Cholesterol),,,,
7,油脂类,植物油,油（胡麻油),能量与相关成分,灰分(Ash),,,,
8,油脂类,植物油,油（胡麻油),能量与相关成分,碳水化合物(CHO),0.0g,13,0.2g,
9,油脂类,植物油,油（胡麻油),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,油脂类,植物油,油（胡麻油),维生素,胡萝卜素(Carotene),,,,
11,油脂类,植物油,油（胡麻油),维生素,维生素A(Vitamin),,,,
12,油脂类,植物油,油（胡麻油),维生素,α-TE,—,,,
13,油脂类,植物油,油（胡麻油),维生素,硫胺素(Thiamin),,,,
14,油脂类,植物油,油（胡麻油),维生素,核黄素(Riboflavin),,,,
15,油脂类,植物油,油（胡麻油),维生素,烟酸(Niacin),,,,
16,油脂类,植物油,油（胡麻油),维生素,维生素C(Vitamin C),,,,
17,油脂类,植物油,油（胡麻油),矿物质,钙(Ca),3mg,8,4mg,
18,油脂类,植物油,油（胡麻油),矿物质,磷(P),5mg,8,4mg,
19,油脂类,植物油,油（胡麻油),矿物质,钾(K),,,,
20,油脂类,植物油,油（胡麻油),矿物质,钠(Na),0.6mg,17,2.3mg,
21,油脂类,植物油,油（胡麻油),矿物质,镁(Mg),1mg,8,1mg,
22,油脂类,植物油,油（胡麻油),矿物质,铁(Fe),0.2mg,17,1.0mg,
23,油脂类,植物油,油（胡麻油),矿物质,锌(Zn),0.30mg,9,0.37mg,
24,油脂类,植物油,油（胡麻油),矿物质,硒(Se),,,,
25,油脂类,植物油,油（胡麻油),矿物质,铜(Cu),0.02mg,11,0.05mg,
26,油脂类,植物油,油（胡麻油),矿物质,锰(Mn),0.03mg,10,0.15mg,
27,油脂类,植物油,油（胡麻油),矿物质,碘(I),,,,
28,油脂类,植物油,油（胡麻油),脂肪酸,饱和脂肪酸(SFA),9.5%,18,13.8%,
29,油脂类,植物油,油（胡麻油),脂肪酸,单不饱和脂肪酸(MUFA),17.8%,19,30.9%,
30,油脂类,植物油,油（胡麻油),脂肪酸,多不饱和脂肪酸(PUFA),73.0%,1,37.5%,
31,油脂类,植物油,油（胡麻油),脂肪酸,合计(Total),100.3%,4,82.7%,
0,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),类型,项目,含量,同类排名,同类均值,含量水平
1,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),能量与相关成分,食部(Edible),100%,1,100%,
2,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),能量与相关成分,水分(Water),—,,,
3,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),能量与相关成分,能量(Energy),2260kJ,3,2090kJ,
4,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),能量与相关成分,蛋白质(Protein),11.0g,38,15.5g,
5,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),能量与相关成分,脂肪(Fat),28.0g,3,21.7g,
6,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),能量与相关成分,胆固醇(Cholesterol),—,,,
7,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),能量与相关成分,灰分(Ash),—,,,
8,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),能量与相关成分,碳水化合物(CHO),61.0g,16,60.3g,
9,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),维生素,胡萝卜素(Carotene),—,,,
11,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),维生素,维生素A(Vitamin),—,,,
12,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),维生素,α-TE,—,,,
13,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),维生素,硫胺素(Thiamin),0.42mg,22,0.51mg,
14,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),维生素,核黄素(Riboflavin),0.47mg,41,0.83mg,
15,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),维生素,烟酸(Niacin),5.20mg,17,4.83mg,
16,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),维生素,维生素C(Vitamin C),62.0mg,24,63.8mg,
17,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),矿物质,钙(Ca),430mg,28,574mg,
18,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),矿物质,磷(P),290mg,32,403mg,
19,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),矿物质,钾(K),570mg,34,730mg,
20,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),矿物质,钠(Na),250.0mg,16,228.1mg,
21,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),矿物质,镁(Mg),42mg,37,56mg,
22,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),矿物质,铁(Fe),9.4mg,3,7.8mg,
23,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),矿物质,锌(Zn),5.20mg,8,5.16mg,
24,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),矿物质,硒(Se),—,,,
25,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),矿物质,铜(Cu),0.39mg,19,0.38mg,
26,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),矿物质,锰(Mn),0.14mg,11,0.16mg,
27,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),矿物质,碘(I),130.0μg,1,72.6μg,
28,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),脂肪酸,饱和脂肪酸(SFA),—,,,
29,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(安婴乐，美赞臣),脂肪酸,合计(Total),—,,,
